region_name;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;;country;Year;Score
 Egypt;33;33;35;35;32;34;36;37;32;32;; Egypt;2021;33
 Eswatini;32;33;34;38;39;37;37;43;39;37;; Eswatini;2021;32
   Nepal;33;33;34;31;31;29;27;29;31;27;;   Nepal;2021;33
 Sierra Leone;34;33;33;30;30;30;29;31;30;31;; Sierra Leone;2021;34
 Ukraine;32;33;30;32;30;29;27;26;25;26;; Ukraine;2021;32
 Zambia;33;33;34;35;37;38;38;38;38;37;; Zambia;2021;33
 Niger;31;32;32;34;33;35;34;35;34;33;; Niger;2021;31
 Bolivia;30;31;31;29;33;33;34;35;34;34;; Bolivia;2021;30
 Kenya;30;31;28;27;28;26;25;25;27;27;; Kenya;2021;30
 Kyrgyzstan;27;31;30;29;29;28;28;27;24;24;; Kyrgyzstan;2021;27
 Mexico;31;31;29;28;29;30;35;35;34;34;; Mexico;2021;31
 Pakistan;28;31;32;33;32;32;30;29;28;27;; Pakistan;2021;28
 Azerbaijan;30;30;30;25;31;30;29;29;28;27;; Azerbaijan;2021;30
 Gabon;31;30;31;31;32;35;34;37;34;35;; Gabon;2021;31
 Malawi;35;30;31;32;31;31;31;33;37;37;; Malawi;2021;35
 Mali;29;30;29;32;31;32;35;32;28;34;; Mali;2021;29
 Russia;29;30;28;28;29;29;29;27;28;28;; Russia;2021;29
 Laos;30;29;29;29;29;30;25;25;26;21;; Laos;2021;30
 Mauritania;28;29;28;27;28;27;31;30;30;31;; Mauritania;2021;28
 Togo;30;29;29;30;32;32;32;29;29;30;; Togo;2021;30
 Dominican Republic;30;28;28;30;29;31;33;32;29;32;; Dominican Republic;2021;30
 Liberia;29;28;28;32;31;37;37;37;38;41;; Liberia;2021;29
 Myanmar;28;28;29;29;30;28;22;21;21;15;; Myanmar;2021;28
 Paraguay;30;28;28;29;29;30;27;24;24;25;; Paraguay;2021;30
 Angola;29;27;26;19;19;18;15;19;23;22;; Angola;2021;29
 Djibouti;30;27;30;31;31;30;34;34;36;36;; Djibouti;2021;30
 Papua New Guinea;31;27;28;28;29;28;25;25;25;25;; Papua New Guinea;2021;31
 Uzbekistan;28;26;25;23;22;21;19;18;17;17;; Uzbekistan;2021;28
 Uganda;27;27;28;26;26;25;25;26;26;29;; Uganda;2021;27
 Cameroon;27;25;25;25;25;26;27;27;25;26;; Cameroon;2021;27
 Bangladesh;26;26;26;26;28;26;25;25;27;26;; Bangladesh;2021;26
 Madagascar;26;25;24;25;24;26;28;28;28;32;; Madagascar;2021;26
 Mozambique;26;25;26;23;25;27;31;31;30;31;; Mozambique;2021;26
 Guinea;25;28;29;28;27;27;25;25;24;24;; Guinea;2021;25
 Guatemala;25;25;26;27;28;28;28;32;29;33;; Guatemala;2021;25
 Iran;25;25;26;28;30;29;27;27;25;28;; Iran;2021;25
 Tajikistan;25;25;25;25;21;25;26;23;22;22;; Tajikistan;2021;25
 Central African Republic;24;26;25;26;23;20;24;24;25;26;; Central African Republic;2021;24
 Lebanon;24;25;28;28;28;28;28;27;28;30;; Lebanon;2021;24
 Nigeria;24;25;26;27;27;28;26;27;25;27;; Nigeria;2021;24
 Honduras;23;24;26;29;29;30;31;29;26;28;; Honduras;2021;23
 Iraq;23;21;20;18;18;17;16;16;16;18;; Iraq;2021;23
 Cambodia;23;21;20;20;21;21;21;21;20;22;; Cambodia;2021;23
 Zimbabwe;23;24;24;22;22;22;21;21;21;20;; Zimbabwe;2021;23
 Eritrea;22;21;23;24;20;18;18;18;20;25;; Eritrea;2021;22
 Republic of the Congo;21;19;19;19;21;20;23;23;22;26;; Republic of the Congo;2021;21
 Guinea-Bissau;21;19;18;28;27;16;17;19;19;25;; Guinea-Bissau;2021;21
 Comoros;20;21;25;27;27;24;26;26;28;28;; Comoros;2021;20
 Haiti;20;18;18;20;22;20;17;19;19;19;; Haiti;2021;20
 Nicaragua;20;22;22;25;26;26;27;28;28;29;; Nicaragua;2021;20
 Sudan;20;16;16;16;16;14;12;11;11;13;; Sudan;2021;20
 Chad;20;21;20;19;20;20;22;22;19;19;; Chad;2021;20
 Burundi;19;19;19;17;22;20;21;20;21;19;; Burundi;2021;19
 Democratic Republic of the Congo;21;18;18;19;21;21;22;22;22;21;; Democratic Republic of the Congo;2021;21
 Turkmenistan;19;19;19;20;19;22;18;17;17;17;; Turkmenistan;2021;19
 Equatorial Guinea;17;16;16;16;17;17;17;17;19;20;; Equatorial Guinea;2021;17
 Libya;17;17;18;17;17;14;16;18;15;21;; Libya;2021;17
 Afghanistan;16;19;16;16;15;15;11;12;8;8;; Afghanistan;2021;16
 North Korea;16;18;17;14;17;8;8;8;8;8;; North Korea;2021;16
 Yemen;16;15;15;14;16;14;18;19;18;23;; Yemen;2021;16
 Venezuela;14;15;16;18;18;17;17;19;20;19;; Venezuela;2021;14
 Somalia;13;12;9;10;9;10;8;8;8;8;; Somalia;2021;13
 Syria;13;14;13;13;14;13;18;20;17;26;; Syria;2021;13
 South Sudan;11;12;12;13;12;11;15;15;14;13;; South Sudan;2021;11
